,CUR_MKT_CAP
RAG Index,27364511873397.0
RAV Index,27925986774016.0
RAY Index,41356123551172.0
RDG Index,5671166517709.67
RLG Index,25554241413534.0
RLV Index,26206649518340.0
RMC Index,10422096470828.0
RMV Index,8521316657941.001
ROY Index,38568229039236.0
RRY Index,41356123551172.0
RTY Index,2787894511936.0
RUJ Index,1719337255675.0
RUY Index,2787894511936.0
S15AERO Index,612120498315.544
S15AEROX Index,612120498315.544
S15AIRL Index,77088284890.4001
S15ALUM Index,12053463656.7927
S15CASI Index,85819924824.8367
S15CONP Index,113712015946.81499
S15CONS Index,2660077255667.85
S15FINL Index,4178861435442.0
S15HCFA Index,96380519503.879
S15INDU Index,3228301673840.0
S15INFT Index,9382918250065.0
S15INSU Index,857592212479.468
S15MATR Index,1038046798942.0
S15METL Index,191146155940.799
S15OILG Index,1543463040339.82
S15OILP Index,499824669977.677
S15REAL Index,1203282100351.48
S15STEL Index,85463274619.38379
S15TRAN Index,641805951666.193
S15UTIL Index,1168933495680.06
S4COND Index,307002160087.87006
S4ENRS Index,107515026970.63101
S4HLTH Index,228407341414.72598
S4INDU Index,397025851275.684
S4INFT Index,285479248682.57697
S4MATR Index,146134408802.538
S5AGRI Index,48953845554.4189
S5APAC Index,27856843393.4305
S5CASI Index,60620550939.708405
S5COMS Index,329895301968.0
S5COMSX Index,202624196537.897
S5CPGS Index,1783978760998.0
S5ELEQ Index,171134572560.685
S5FDBT Index,1288316522370.0
S5FDRE Index,33965011189.316902
S5FINL Index,3667777746419.0
S5FOOT Index,135476194946.771
S5HCEP Index,849633810119.938
S5HCES Index,2066279725044.0
S5HLTH Index,4865845022395.0
S5INDU Index,2687351879387.0
S5INFT Index,8980997476289.0
S5INSB Index,215793424447.97202
S5INSU Index,738234180809.0
S5INSUX Index,738234180809.302
S5ITEL Index,292627999279.77295
S5METL Index,109820030895.0
S5MLIN Index,71028324127.6475
S5PHAR Index,1459561282662.0
S5PROP Index,276289899662.0
S5SYSF Index,2149861807512.9302
S5TRADX Index,75727947776.4304
S5UTIL Index,1061250832471.0
S6BANKX Index,119052138027.345
S6COND Index,117099353128.87599
S6FINL Index,176119741161.98
S6INDU Index,143923943177.697
S6INFT Index,116441525093.32501
S6OILP Index,16546639151.8477
SGX Index,21873130681012.0
SML Index,941587595094.0
SMLG Index,607047849267.0
SMLL1 Index,941587595094.0
SMLL3 Index,941587595094.0
SMLV Index,681590621026.0
SOX Index,2284707754397.0
SPGLOB Index,54217874495024.0
SPOEXEUP Index,22732366489544.297
SPR Index,37399854501154.0
SPRL1 Index,37399854501154.0
SPRL2 Index,37399854501154.0
SPRL3 Index,37399854501154.0
SPSIHO Index,737341645194.434
SPSIMM Index,212633524241.156
SPSIOS Index,161463189974.457
SPW Index,34255995793362.996
SPX Index,34255995793362.996
SPXEWI Index,34255995793362.996
SPXL1 Index,34255995793362.996
SPXL2 Index,34255995793362.996
SPXL3 Index,34255995793362.996
SVX Index,23030246424073.0
SX5K Index,3393527503012.4375
SX7K Index,450283410887.22107
SX7L Index,818572507474.9382
SX9L Index,755522587948.8146
SXMK Index,86998683113.28178
SXNL Index,1283829603883.2407
SXXL Index,11314786336852.943
XAU Index,220458069647.0
XEO Index,22732366489544.0
XSP Index,34255995793362.996
