TICKER,INTERCEPT,COEFFICIENT1
SJM,0.5044,-0.149
SJW,0.2917,-0.0656
SKT,0.5509,-0.1397
SKYW,0.4557,-0.1349
SLB,0.1074,-0.0233
SLM,0.3648,-0.1777
SM,-0.2545,0.0954
SMBC,0.8064,-0.263
SMG,0.5204,-0.139
SMP,0.0344,0.0225
SMTC,0.5277,-0.1182
SNA,0.2033,-0.033
SNPS,0.2694,-0.0441
SO,0.2611,-0.0752
SON,0.1476,-0.031
SPG,0.7941,-0.2075
SPGI,0.5866,-0.1374
SPXC,0.2203,-0.0775
SR,0.1708,-0.0309
SRCE,0.2543,-0.0736
SSB,0.5077,-0.1479
SSD,0.1575,-0.014
SSP,0.1912,-0.1295
STBA,0.4649,-0.18
STT,0.2974,-0.0872
STZ,1.1034,-0.2832
SVC,0.3208,-0.1628
SWK,0.4546,-0.1362
SWX,0.4251,-0.1222
SXI,0.2051,-0.0474
SXT,0.1657,-0.0308
SYBT,0.4271,-0.1196
SYK,0.4909,-0.0956
SYY,0.4544,-0.1201
T,0.2347,-0.1175
TAP,0.4121,-0.1216
TBI,0.7149,-0.2015
TCBK,0.65,-0.2168
TDS,0.0622,-0.0209
TECH,0.4829,-0.0891
TFC,0.2379,-0.0781
TFX,0.0942,0.0112
TG,0.1864,-0.0801
TGI,0.1367,-0.0472
TGNA,0.2127,-0.1423
TGT,0.3955,-0.1001
THFF,0.4329,-0.1572
THG,0.1406,-0.0121
TILE,0.4721,-0.1426
TJX,0.8976,-0.2241
TKR,0.4236,-0.1493
TMO,0.1302,0.0082
TMP,0.4725,-0.1564
TNC,0.3177,-0.0796
TOL,0.4103,-0.1094
TPL,0.3235,-0.0086
TR,0.2714,-0.0719
TRC,0.1222,-0.023
TRMB,0.1752,-0.0038
TRMK,0.224,-0.0758
TRN,0.4922,-0.196
TRNS,0.8978,-0.2116
TROW,1.1893,-0.3431
TRST,0.2736,-0.114
TRV,0.2908,-0.0791
TSCO,1.3898,-0.3262
TSN,0.3522,-0.0921
TTC,0.8937,-0.2229
TTEK,0.7509,-0.193
TUP,0.6997,-0.2688
TXN,0.7649,-0.2009
TXT,0.7508,-0.2569
UBA,0.2453,-0.0729
UBSI,0.3674,-0.1414
UFCS,0.7071,-0.2627
UFPI,0.2353,-0.0344
UFPT,0.6345,-0.1337
UGI,0.9153,-0.2947
UHAL,0.7281,-0.1658
UHS,0.9306,-0.2474
UHT,0.2296,-0.0491
UMBF,0.3633,-0.0996
UNF,0.6296,-0.1716
UNFI,0.4519,-0.1251
UNH,0.7237,-0.1605
UNM,0.4152,-0.1756
UNP,0.0493,0.0397
UPS,0.6316,-0.1951
URBN,0.7602,-0.1671
USLM,0.5039,-0.1261
USM,0.2411,-0.0724
