TICKER,CUR_MKT_CAP
AAXJ,2808.9599609375
ACWI,15536.427734375
ACWV,4401.02392578125
ACWX,3726.43212890625
ADME,323.6633605957031
ADRE,127.22834777832031
ADX,1851.7733154296875
AFK,47.03799819946289
AGG,81098.3828125
AGGY,922.7300415039062
AGNG,39.04179763793945
AGZ,603.5679931640625
AGZD,366.9031982421875
AIA,1282.5850830078125
AIRR,197.42408752441406
AIVL,411.385498046875
ALTY,36.658199310302734
AMJ,2571.590087890625
AMLP,6538.41162109375
AMZA,325.47271728515625
ANGL,3068.52001953125
AOA,1357.462646484375
AOK,894.16796875
AOM,1445.07763671875
AOR,1787.277099609375
ARKG,2550.740478515625
ARKK,7873.15625
ARKQ,1049.9359130859375
ARKW,1336.6473388671875
ASEA,38.42369842529297
ASET,30.005029678344727
ASHR,1606.5205078125
ASHS,30.83003044128418
BAB,1709.929443359375
BAR,839.4956665039062
BBH,427.66522216796875
BBN,1077.0770263671875
BCD,291.8930358886719
BCI,1042.1026611328125
BDJ,1675.6241455078125
BIL,21070.826171875
BIV,12376.1435546875
BIZD,534.6021118164062
BJK,65.13849639892578
BKF,80.61675262451172
BKLN,3654.23583984375
BLES,128.3925018310547
BLV,4254.6787109375
BND,81881.9140625
BNDC,165.234619140625
BNDX,44708.265625
BNO,197.62249755859375
BOND,3130.058837890625
BOTZ,1277.300048828125
BRF,28.450624465942383
BSCM,1811.7449951171875
BSCN,2491.728759765625
BSCO,3234.262451171875
BSCP,1641.0404052734375
BSCQ,1154.3897705078125
BSJM,545.3759765625
BSJN,704.4719848632812
BSJO,488.4100036621094
BST,1062.3843994140625
BSV,38261.9609375
BTEC,60.78489303588867
BTT,1521.164794921875
BTZ,984.6297607421875
BUFF,136.72799682617188
BWX,821.8607788085938
BWZ,138.24000549316406
BXMX,1353.12890625
BYLD,79.47875213623047
CACG,150.79798889160156
CALF,1010.2218017578125
CANE,25.388742446899414
CARZ,47.3603401184082
CATH,538.9097900390625
CCOR,462.820068359375
CDC,2424.5751953125
CDL,379.7035217285156
CEFS,87.80850219726562
CEMB,299.4949951171875
CET,961.263427734375
CFA,551.7539672851562
CFO,864.5625
CGW,911.6239624023438
CHIE,9.765000343322754
CHII,5.504000186920166
CHIQ,322.5208740234375
CHIX,34.71929931640625
CIBR,5028.21484375
CLM,1890.7298583984375
CMBS,651.7440185546875
CMF,1785.489990234375
CNXT,20.182498931884766
CNYA,499.62152099609375
COM,311.6037902832031
COMB,293.2872619628906
COMT,2404.180908203125
COPX,1335.416748046875
CORN,225.1044158935547
CORP,597.7418823242188
COWZ,7280.8154296875
CPER,141.43701171875
CPI,11.268000602722168
CQQQ,899.0917358398438
CRBN,847.9119873046875
CSB,304.4100036621094
CSD,54.46885299682617
CSF,74.55374908447266
CSM,434.3216857910156
CSML,219.67401123046875
CSQ,2210.291015625
CUT,67.47750091552734
CWB,4384.81787109375
CWI,1441.20361328125
CXSE,820.7471313476562
CYB,27.269001007080078
DAX,24.30699920654297
DBA,1526.1334228515625
DBAW,134.98703002929688
DBB,323.5327453613281
DBC,3301.238525390625
DBE,203.8726043701172
DBEF,4008.578369140625
DBEM,89.07553100585938
DBEU,479.4975280761719
DBJP,208.6292724609375
DBO,360.306640625
DBP,82.23372650146484
DDIV,75.27506256103516
DDWM,174.6875
DEF,251.64517211914062
DEM,1774.1409912109375
DES,1747.780029296875
DEUS,142.55784606933594
DFE,203.44000244140625
DFJ,151.97000122070312
DFNL,170.30636596679688
DGL,65.66188049316406
DGRE,69.13500213623047
DGRO,22869.029296875
DGRS,210.69908142089844
DGRW,6729.6240234375
DGS,2311.422119140625
DHS,1184.0330810546875
DIA,26792.37890625
DIV,702.3348388671875
DIVO,1774.015869140625
DJD,236.531005859375
DLN,3464.76904296875
DLS,1084.6412353515625
DNL,417.27801513671875
DNP,3801.75048828125
DOL,339.947998046875
DON,3070.169921875
DSI,3547.47509765625
DSL,1208.121826171875
DTD,1032.5584716796875
DTH,190.51531982421875
DUSA,312.12701416015625
DVY,21602.990234375
DVYA,32.459999084472656
DVYE,571.1915283203125
DWAS,375.80731201171875
DWLD,248.29200744628906
DWM,563.2155151367188
DWX,510.0177307128906
DXJ,1963.0379638671875
EBND,2072.719970703125
ECH,538.4940185546875
ECNS,51.5359992980957
ECON,97.7760009765625
EDEN,168.85049438476562
EDIV,190.78500366210938
EDOW,123.81757354736328
EDV,1245.982421875
EELV,852.1832275390625
EEM,23317.66015625
EEMA,525.8399658203125
EEMS,325.29974365234375
EEMV,6014.31591796875
EEMX,91.59199523925781
EES,593.8099975585938
EFA,42793.12890625
EFAV,5372.4853515625
EFAX,216.07350158691406
EFG,9220.068359375
EFV,13490.400390625
EGPT,14.727520942687988
EIDO,490.29998779296875
EIRL,47.28684997558594
EIS,155.5500030517578
ELD,86.93766021728516
EMB,15264.9189453125
EMGF,798.9119873046875
EMHY,310.8448791503906
EMLC,2815.855712890625
EMLP,2651.822509765625
EMQQ,552.2860107421875
EMTL,66.87449645996094
ENFR,133.6510009765625
ENOR,29.512624740600586
ENZL,109.2239990234375
EOS,885.1967163085938
EPHE,102.1814956665039
EPI,730.6019897460938
EPOL,130.625
EPP,2076.2099609375
EPRF,129.17601013183594
EPS,606.7760009765625
EPU,121.26750183105469
EQAL,599.0783081054688
ERTH,354.9434814453125
ESGD,6262.0458984375
ESGE,4041.0
ESGU,21724.349609375
ETG,1309.448486328125
ETV,1589.9964599609375
ETW,932.86083984375
ETY,1903.24365234375
EUDG,50.80781555175781
EUFN,1245.824951171875
