TICKER,NAME,REGION,HOLDING,MARKET_CAP,STYLE,SECTOR,SECURITY_TYPE,ASSET_CLASS,DURATION,CREDIT,CLASSIFICATION,MIN,MAX
A,Agilent Technologies Inc,U.S.,Satellite,Large-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Growth Common Stock,0.0000,0.0400
AA,Alcoa Corp,U.S.,Satellite,Mid-cap,Value,Materials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Value Common Stock,0.0000,0.0100
AAAU,Goldman Sachs Physical Gold ETF,Global,Satellite,Non-Equity,Non-Equity,Non-Equity,ETP,Commodity,Non-Fixed Income,Non-Fixed Income,Commodity,0.0000,0.5000
AAL,American Airlines Group Inc,U.S.,Satellite,Mid-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Value Common Stock,0.0000,0.0200
AAON,AAON Inc,U.S.,Satellite,Small-cap,Growth,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0500
AAP,Advance Auto Parts Inc,U.S.,Satellite,Mid-cap,Value,Consumer Discretionary,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Value Common Stock,0.0000,0.0400
AAPL,Apple Inc,U.S.,Satellite,Large-cap,Growth,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Growth Common Stock,0.0000,0.0400
AAT,American Assets Trust Inc,U.S.,Satellite,Non-Equity,Non-Equity,Real Estate,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Real Estate REIT,0.0000,0.0500
AAWW,Atlas Air Worldwide Holdings Inc,U.S.,Satellite,Small-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0200
AAXJ,iShares MSCI All Country Asia ex Japan ETF,Developed Markets,Satellite,Large-cap,Growth,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,Developed Markets Large-cap Growth ETP,0.0000,0.1250
AB,AllianceBernstein Holding LP,U.S.,Satellite,Non-Equity,Non-Equity,Financials,MLP,MLP,Non-Fixed Income,Non-Fixed Income,U.S. Financials MLP,0.0000,0.0200
ABBV,AbbVie Inc,U.S.,Satellite,Large-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Growth Common Stock,0.0000,0.0500
ABC,AmerisourceBergen Corp,U.S.,Satellite,Mid-cap,Value,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Value Common Stock,0.0000,0.0500
ABCB,Ameris Bancorp,U.S.,Satellite,Small-cap,Blend,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0200
ABCL,AbCellera Biologics Inc,U.S.,Satellite,Small-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0200
ABG,Asbury Automotive Group Inc,U.S.,Satellite,Small-cap,Value,Consumer Discretionary,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0100
ABM,ABM Industries Inc,U.S.,Satellite,Small-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0400
ABMD,ABIOMED Inc,U.S.,Satellite,Mid-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Growth Common Stock,0.0000,0.0300
ABNB,Airbnb Inc,U.S.,Satellite,Large-cap,Growth,Communications,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Growth Common Stock,0.0000,0.0500
ABR,Arbor Realty Trust Inc,U.S.,Satellite,Non-Equity,Non-Equity,Financials,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Financials REIT,0.0000,0.0100
ABT,Abbott Laboratories,U.S.,Satellite,Large-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Growth Common Stock,0.0000,0.0500
ABTX,Allegiance Bancshares Inc,U.S.,Satellite,Small-cap,Blend,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0500
ABUS,Arbutus Biopharma Corp,U.S.,Satellite,Small-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0100
AC,Associated Capital Group Inc,U.S.,Satellite,Small-cap,Growth,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0500
ACA,Arcosa Inc,U.S.,Satellite,Small-cap,Blend,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0500
ACAD,ACADIA Pharmaceuticals Inc,U.S.,Satellite,Small-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0100
ACC,American Campus Communities Inc,U.S.,Satellite,Non-Equity,Non-Equity,Real Estate,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Real Estate REIT,0.0000,0.0500
ACCD,Accolade Inc,U.S.,Satellite,Small-cap,Blend,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0200
ACCO,ACCO Brands Corp,U.S.,Satellite,Small-cap,Value,Consumer Discretionary,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0100
ACEL,Accel Entertainment Inc,U.S.,Satellite,Small-cap,Blend,Consumer Discretionary,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0500
ACES,ALPS Clean Energy ETF,Developed Markets,Satellite,Broad Market,Growth,Technology,ETP,Equity,Non-Fixed Income,Non-Fixed Income,Developed Markets Broad Market Growth ETP,0.0000,0.0625
ACET,Adicet Bio Inc,U.S.,Satellite,Small-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0100
ACGL,Arch Capital Group Ltd,U.S.,Satellite,Mid-cap,Blend,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Blend Common Stock,0.0000,0.0500
ACHC,Acadia Healthcare Co Inc,U.S.,Satellite,Mid-cap,Blend,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Blend Common Stock,0.0000,0.0200
ACI,Albertsons Cos Inc,U.S.,Satellite,Mid-cap,Value,Consumer Staples,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Value Common Stock,0.0000,0.0500
ACIO,Aptus Collared Income Opportunity ETF,U.S.,Satellite,Large-cap,Growth,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Growth ETP,0.0000,0.5000
ACIW,ACI Worldwide Inc,U.S.,Satellite,Small-cap,Blend,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0300
ACLS,Axcelis Technologies Inc,U.S.,Satellite,Small-cap,Blend,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0100
ACM,AECOM,U.S.,Satellite,Mid-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Value Common Stock,0.0000,0.0400
ACMR,ACM Research Inc,U.S.,Satellite,Small-cap,Blend,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0300
ACN,Accenture PLC,U.S.,Satellite,Large-cap,Blend,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Blend Common Stock,0.0000,0.0500
ACRE,Ares Commercial Real Estate Corp,U.S.,Satellite,Non-Equity,Non-Equity,Financials,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Financials REIT,0.0000,0.0300
ACRS,Aclaris Therapeutics Inc,U.S.,Satellite,Small-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0100
ACTG,Acacia Research Corp,U.S.,Satellite,Small-cap,Blend,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0100
ACWF,iShares MSCI Global Multifactor ETF,Global,Satellite,Broad Market,Blend,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,Global Broad Market Blend ETP,0.0000,0.2500
ACWI,iShares MSCI ACWI ETF,Global,Satellite,Large-cap,Blend,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,Global Large-cap Blend ETP,0.0000,0.0625
ACWV,iShares MSCI Global Min Vol Factor ETF,Global,Satellite,Large-cap,Blend,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,Global Large-cap Blend ETP,0.0000,0.5000
ACWX,iShares MSCI ACWI ex US ETF,Developed Markets,Satellite,Large-cap,Blend,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,Developed Markets Large-cap Blend ETP,0.0000,0.0625
ADBE,Adobe Inc,U.S.,Satellite,Large-cap,Growth,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Growth Common Stock,0.0000,0.0400
ADC,Agree Realty Corp,U.S.,Satellite,Non-Equity,Non-Equity,Real Estate,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Real Estate REIT,0.0000,0.0400
ADCT,ADC Therapeutics SA,U.S.,Satellite,Small-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0200
ADI,Analog Devices Inc,U.S.,Satellite,Large-cap,Growth,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Growth Common Stock,0.0000,0.0400
ADM,Archer-Daniels-Midland Co,U.S.,Satellite,Large-cap,Value,Consumer Staples,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Value Common Stock,0.0000,0.0400
ADME,Aptus Drawdown Managed Equity ETF,U.S.,Satellite,Non-Equity,Non-Equity,Non-Equity,ETP,Mixed Allocation,Non-Fixed Income,Non-Fixed Income,U.S. Mixed Allocation,0.0000,0.1250
ADN,Advent Technologies Holdings Inc,U.S.,Satellite,Small-cap,Growth,Energy,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0100
ADNT,Adient PLC,U.S.,Satellite,Small-cap,Value,Consumer Discretionary,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0200
ADP,Automatic Data Processing Inc,U.S.,Satellite,Large-cap,Growth,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Growth Common Stock,0.0000,0.0500
ADPT,Adaptive Biotechnologies Corp,U.S.,Satellite,Small-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0200
ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Emerging Markets,Satellite,Large-cap,Growth,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,Emerging Markets Large-cap Growth ETP,0.0000,0.0313
ADSK,Autodesk Inc,U.S.,Satellite,Large-cap,Growth,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Growth Common Stock,0.0000,0.0300
ADT,ADT Inc,U.S.,Satellite,Mid-cap,Blend,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Blend Common Stock,0.0000,0.0400
ADTN,ADTRAN Holdings Inc,U.S.,Satellite,Small-cap,Blend,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0200
ADUS,Addus HomeCare Corp,U.S.,Satellite,Small-cap,Blend,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0400
ADV,Advantage Solutions Inc,U.S.,Satellite,Small-cap,Value,Communications,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0300
ADX,Adams Diversified Equity Fund Inc,U.S.,Satellite,Broad Market,Blend,Multi-Sector,Closed-End Fund,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Blend Closed-End Fund,0.0000,0.0625
AEE,Ameren Corp,U.S.,Satellite,Mid-cap,Blend,Utilities,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Blend Common Stock,0.0000,0.0400
AEIS,Advanced Energy Industries Inc,U.S.,Satellite,Small-cap,Blend,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0300
AEL,American Equity Investment Life Holding Co,U.S.,Satellite,Small-cap,Value,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0300
AEO,American Eagle Outfitters Inc,U.S.,Satellite,Small-cap,Value,Consumer Discretionary,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0300
AEP,American Electric Power Co Inc,U.S.,Satellite,Large-cap,Blend,Utilities,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Blend Common Stock,0.0000,0.0500
AER,AerCap Holdings NV,U.S.,Satellite,Mid-cap,Blend,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Blend Common Stock,0.0000,0.0100
AERI,Aerie Pharmaceuticals Inc,U.S.,Satellite,Small-cap,Blend,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0100
AES,AES Corp/The,U.S.,Satellite,Mid-cap,Blend,Utilities,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Blend Common Stock,0.0000,0.0300
AESR,Anfield US Equity Sector Rotation ETF,U.S.,Satellite,Large-cap,Blend,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Blend ETP,0.0000,0.5000
AFG,American Financial Group Inc/OH,U.S.,Satellite,Mid-cap,Blend,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Blend Common Stock,0.0000,0.0400
AFIB,Acutus Medical Inc,U.S.,Satellite,Small-cap,Blend,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0100
AFIF,Anfield Universal Fixed Income ETF,U.S.,Satellite,Non-Equity,Non-Equity,Non-Equity,ETP,Fixed Income,Non-Specified,Non-Specified,U.S. Fixed Income,0.0000,0.5000
AFK,VanEck Africa Index ETF,Emerging Markets,Satellite,Broad Market,Blend,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,Emerging Markets Broad Market Blend ETP,0.0000,0.0625
AFL,Aflac Inc,U.S.,Satellite,Large-cap,Blend,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Blend Common Stock,0.0000,0.0300
AFMD,Affimed NV,U.S.,Satellite,Small-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0100
AFRM,Affirm Holdings Inc,U.S.,Satellite,Mid-cap,Growth,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Growth Common Stock,0.0000,0.0200
AFYA,Afya Ltd,U.S.,Satellite,Small-cap,Blend,Consumer Discretionary,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0300
AGCO,AGCO Corp,U.S.,Satellite,Mid-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Value Common Stock,0.0000,0.0300
AGEN,Agenus Inc,U.S.,Satellite,Small-cap,Blend,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0100
AGG,iShares Core U.S. Aggregate Bond ETF,U.S.,Core,Non-Equity,Non-Equity,Non-Equity,ETP,Fixed Income,Non-Specified,Investment Grade,U.S. Investment Grade Fixed Income,0.0000,0.2500
AGGY,WisdomTree Yield Enhanced US Aggregate Bond Fund,U.S.,Satellite,Non-Equity,Non-Equity,Non-Equity,ETP,Fixed Income,Intermediate,Investment Grade,U.S. Intermediate Investment Grade Fixed Income,0.0000,0.1250
AGLE,Aeglea BioTherapeutics Inc,U.S.,Satellite,Small-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0100
AGM,Federal Agricultural Mortgage Corp,U.S.,Satellite,Small-cap,Blend,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0100
AGNC,AGNC Investment Corp,U.S.,Satellite,Non-Equity,Non-Equity,Financials,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Financials REIT,0.0000,0.0500
AGNG,Global X Aging Population ETF,Global,Satellite,Broad Market,Growth,Health Care,ETP,Equity,Non-Fixed Income,Non-Fixed Income,Global Broad Market Growth ETP,0.0000,0.5000
AGO,Assured Guaranty Ltd,U.S.,Satellite,Small-cap,Growth,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0200
AGOX,Adaptive Alpha Opportunities ETF,Global,Satellite,Broad Market,Blend,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,Global Broad Market Blend ETP,0.0000,0.5000
AGR,Avangrid Inc,U.S.,Satellite,Mid-cap,Blend,Utilities,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Blend Common Stock,0.0000,0.0500
AGS,PlayAGS Inc,U.S.,Satellite,Small-cap,Value,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0100
AGTI,Agiliti Inc,U.S.,Satellite,Small-cap,Blend,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0200
AGX,Argan Inc,U.S.,Satellite,Small-cap,Blend,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0300
AGYS,Agilysys Inc,U.S.,Satellite,Small-cap,Growth,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0200
AGZ,iShares Agency Bond ETF,U.S.,Satellite,Non-Equity,Non-Equity,Non-Equity,ETP,Fixed Income,Non-Specified,Investment Grade,U.S. Investment Grade Fixed Income,0.0000,0.5000
AGZD,WisdomTree Trust WisdomTree Interest Rate Hedged US Aggregate Bond Fund,U.S.,Core,Non-Equity,Non-Equity,Non-Equity,ETP,Fixed Income,Non-Specified,Non-Specified,U.S. Fixed Income,0.0000,0.5000
AHCO,AdaptHealth Corp,U.S.,Satellite,Small-cap,Blend,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0400
AHH,Armada Hoffler Properties Inc,U.S.,Satellite,Non-Equity,Non-Equity,Real Estate,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Real Estate REIT,0.0000,0.0400
AHT,Ashford Hospitality Trust Inc,U.S.,Satellite,Non-Equity,Non-Equity,Real Estate,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Real Estate REIT,0.0000,0.0100
AI,C3.ai Inc,U.S.,Satellite,Small-cap,Growth,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0200
AIA,iShares Asia 50 ETF,Developed Markets,Satellite,Large-cap,Growth,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,Developed Markets Large-cap Growth ETP,0.0000,0.0625
AIEQ,AI Powered Equity ETF,U.S.,Satellite,Broad Market,Growth,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Broad Market Growth ETP,0.0000,0.2500
AIG,American International Group Inc,U.S.,Satellite,Large-cap,Value,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Value Common Stock,0.0000,0.0100
AIMC,Altra Industrial Motion Corp,U.S.,Satellite,Small-cap,Blend,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0300
AIN,Albany International Corp,U.S.,Satellite,Small-cap,Blend,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0200
AIQ,Global X Artificial Intelligence & Technology ETF,Global,Satellite,Large-cap,Growth,Technology,ETP,Equity,Non-Fixed Income,Non-Fixed Income,Global Large-cap Growth ETP,0.0000,0.2500
AIR,AAR Corp,U.S.,Satellite,Small-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0300
AIRC,Apartment Income REIT Corp,U.S.,Satellite,Non-Equity,Non-Equity,Real Estate,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Real Estate REIT,0.0000,0.0500
AIRR,First Trust RBA American Industrial Renaissance ETF,U.S.,Satellite,Large-cap,Value,Industrials,ETP,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Value ETP,0.0000,0.1250
AIT,Applied Industrial Technologies Inc,U.S.,Satellite,Small-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0400
AIV,Apartment Investment and Management Co,U.S.,Satellite,Non-Equity,Non-Equity,Real Estate,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Real Estate REIT,0.0000,0.0200
AIVL,WisdomTree US AI Enhanced Valu,U.S.,Satellite,Large-cap,Value,Multi-Sector,ETP,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Value ETP,0.0000,0.0625
AIZ,Assurant Inc,U.S.,Satellite,Mid-cap,Value,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Value Common Stock,0.0000,0.0300
AJG,Arthur J Gallagher & Co,U.S.,Satellite,Large-cap,Growth,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Growth Common Stock,0.0000,0.0500
AJRD,Aerojet Rocketdyne Holdings Inc,U.S.,Satellite,Small-cap,Blend,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0200
AJX,Great Ajax Corp,U.S.,Satellite,Non-Equity,Non-Equity,Financials,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Financials REIT,0.0000,0.0300
AKAM,Akamai Technologies Inc,U.S.,Satellite,Mid-cap,Growth,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Growth Common Stock,0.0000,0.0200
AKBA,Akebia Therapeutics Inc,U.S.,Satellite,Small-cap,Value,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0100
AKR,Acadia Realty Trust,U.S.,Satellite,Non-Equity,Non-Equity,Real Estate,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Real Estate REIT,0.0000,0.0400
AKTS,Akoustis Technologies Inc,U.S.,Satellite,Small-cap,Growth,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0300
AL,Air Lease Corp,U.S.,Satellite,Small-cap,Blend,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0300
ALB,Albemarle Corp,U.S.,Satellite,Mid-cap,Growth,Materials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Growth Common Stock,0.0000,0.0400
ALBO,Albireo Pharma Inc,U.S.,Satellite,Small-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0100
ALE,ALLETE Inc,U.S.,Satellite,Small-cap,Blend,Utilities,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0500
ALEC,Alector Inc,U.S.,Satellite,Small-cap,Blend,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0300
ALEX,Alexander & Baldwin Inc,U.S.,Satellite,Non-Equity,Non-Equity,Real Estate,REIT,REIT,Non-Fixed Income,Non-Fixed Income,Real Estate REIT,0.0000,0.0400
ALG,Alamo Group Inc,U.S.,Satellite,Small-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0400
ALGM,Allegro MicroSystems Inc,U.S.,Satellite,Small-cap,Growth,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0500
ALGN,Align Technology Inc,U.S.,Satellite,Mid-cap,Growth,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Growth Common Stock,0.0000,0.0300
ALGT,Allegiant Travel Co,U.S.,Satellite,Small-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0400
ALHC,Alignment Healthcare Inc,U.S.,Satellite,Small-cap,Blend,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0300
ALIT,Alight Inc,U.S.,Satellite,Small-cap,Blend,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0500
ALK,Alaska Air Group Inc,U.S.,Satellite,Small-cap,Value,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Value Common Stock,0.0000,0.0300
ALKS,Alkermes PLC,U.S.,Satellite,Small-cap,Blend,Health Care,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Blend Common Stock,0.0000,0.0200
ALKT,Alkami Technology Inc,U.S.,Satellite,Small-cap,Growth,Technology,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Small-cap Growth Common Stock,0.0000,0.0300
ALL,Allstate Corp/The,U.S.,Satellite,Large-cap,Value,Financials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Large-cap Value Common Stock,0.0000,0.0300
ALLE,Allegion plc,U.S.,Satellite,Mid-cap,Blend,Industrials,Common Stock,Equity,Non-Fixed Income,Non-Fixed Income,U.S. Mid-cap Blend Common Stock,0.0000,0.0500
