TICKER,NAME,CLASSIFICATION,CAPE,FWD_RETURN_FORECAST,LOWER_CONFIDENCE,UPPER_CONFIDENCE,F_PVALUE,MINIMUM_CAPE,MAXIMUM_CAPE,RSQUARED
EBF,Ennis Inc,U.S. Small-cap Blend Common Stock,15.15,-0.051,-0.1569,0.055,0.0,1.93,13.11,0.5929
ECL,Ecolab Inc,U.S. Large-cap Growth Common Stock,35.07,0.1188,0.0417,0.1959,0.0,21.51,45.81,0.4364
EFX,Equifax Inc,U.S. Mid-cap Growth Common Stock,32.07,0.1011,-0.0734,0.2756,0.0035,9.82,46.11,0.0327
EIX,Edison International,U.S. Mid-cap Blend Common Stock,13.33,-0.0281,-0.169,0.113,0.0,2.09,15.11,0.5958
EL,Estee Lauder Cos Inc/The,U.S. Large-cap Growth Common Stock,33.6,0.1664,-0.0255,0.359,0.0004,10.84,52.73,0.1025
ELS,Equity LifeStyle Properties Inc,Real Estate REIT,53.7,0.1769,0.0542,0.2995,0.0014,9.26,81.55,0.0776
EMN,Eastman Chemical Co,U.S. Mid-cap Blend Common Stock,9.79,0.1078,-0.0766,0.2918,0.0051,3.45,17.62,0.074
EMR,Emerson Electric Co,U.S. Large-cap Growth Common Stock,21.69,-0.0317,-0.1117,0.048,0.0,8.52,19.03,0.4899
EOG,EOG Resources Inc,U.S. Large-cap Blend Common Stock,26.32,0.1226,-0.0943,0.3388,0.0,11.64,48.65,0.2407
EPAC,Enerpac Tool Group Corp,U.S. Small-cap Blend Common Stock,22.56,-0.0804,-0.2238,0.0607,0.0,1.63,26.5,0.8566
EQC,Equity Commonwealth,Real Estate REIT,48.47,0.0189,-0.1474,0.1852,0.0061,0.96,42.89,0.0397
EQR,Equity Residential,Real Estate REIT,52.85,0.0986,-0.0127,0.2099,0.0,7.43,257.24,0.1656
EQT,EQT Corp,U.S. Mid-cap Blend Common Stock,53.62,-0.3303,-0.5029,-0.1574,0.0,4.49,30.63,0.683
ES,Eversource Energy,U.S. Mid-cap Blend Common Stock,18.32,0.1241,0.0324,0.2153,0.0,3.58,27.78,0.1239
ESE,ESCO Technologies Inc,U.S. Small-cap Blend Common Stock,38.63,0.0275,-0.1387,0.1935,0.0,14.34,50.71,0.206
ESS,Essex Property Trust Inc,Real Estate REIT,45.39,0.1031,-0.0179,0.2239,0.0,11.0,81.18,0.3354
ESTE,Earthstone Energy Inc,U.S. Small-cap Value Common Stock,11.74,0.0134,-0.5588,0.5846,0.0,8.59,1050.62,0.1503
ETD,Ethan Allen Interiors Inc,U.S. Small-cap Value Common Stock,14.19,-0.0177,-0.1886,0.1524,0.0,2.28,20.2,0.1557
ETN,Eaton Corp PLC,U.S. Large-cap Growth Common Stock,35.2,-0.0347,-0.1784,0.1091,0.0,5.3,17.41,0.2327
ETR,Entergy Corp,U.S. Mid-cap Blend Common Stock,12.07,0.0081,-0.0927,0.1095,0.0,3.23,14.49,0.6086
EXP,Eagle Materials Inc,U.S. Mid-cap Growth Common Stock,25.93,0.0858,-0.1033,0.2741,0.0,6.34,50.45,0.5883
FAST,Fastenal Co,U.S. Mid-cap Growth Common Stock,39.79,0.1257,0.0304,0.2209,0.0,21.25,57.46,0.5291
FBNC,First Bancorp/Southern Pines NC,U.S. Small-cap Blend Common Stock,11.49,0.0879,-0.122,0.2977,0.0019,5.61,40.73,0.041
FCBC,First Community Bankshares Inc,U.S. Small-cap Growth Common Stock,14.14,-0.0197,-0.2467,0.2076,0.0,3.08,25.29,0.1198
FCF,First Commonwealth Financial Corp,U.S. Small-cap Blend Common Stock,12.82,0.0342,-0.1597,0.2281,0.0098,3.5,28.98,0.0199
FCN,FTI Consulting Inc,U.S. Mid-cap Blend Common Stock,36.32,0.0691,-0.1629,0.3013,0.0,12.23,71.73,0.2256
FCX,Freeport-McMoRan Inc,U.S. Large-cap Blend Common Stock,29.85,0.0443,-0.3687,0.4573,0.0009,1.33,37.52,0.037
FDS,FactSet Research Systems Inc,U.S. Mid-cap Growth Common Stock,42.43,0.1573,0.0759,0.239,0.0,24.02,56.22,0.2502
FDX,FedEx Corp,U.S. Large-cap Value Common Stock,17.12,0.1422,-0.0078,0.2916,0.0,8.64,42.15,0.3298
FELE,Franklin Electric Co Inc,U.S. Small-cap Blend Common Stock,35.82,-0.0146,-0.1375,0.1082,0.0,11.06,33.93,0.4892
FFIC,Flushing Financial Corp,U.S. Small-cap Blend Common Stock,7.81,0.092,-0.005,0.189,0.0,2.94,15.87,0.7193
FFIN,First Financial Bankshares Inc,U.S. Small-cap Growth Common Stock,24.99,0.1502,0.0511,0.2489,0.0056,6.81,37.21,0.053
FI,Fiserv Inc,U.S. Large-cap Growth Common Stock,42.94,0.1378,0.0047,0.272,0.0,16.22,104.27,0.4724
FICO,Fair Isaac Corp,U.S. Mid-cap Growth Common Stock,118.86,0.0366,-0.2665,0.3397,0.0,6.79,72.34,0.1179
FITB,Fifth Third Bancorp,U.S. Mid-cap Blend Common Stock,9.74,0.0336,-0.2459,0.3144,0.0,0.64,27.96,0.2217
FL,Foot Locker Inc,U.S. Small-cap Value Common Stock,4.82,0.1819,-0.1212,0.4847,0.0015,3.67,567.21,0.1293
FLIC,First of Long Island Corp/The,U.S. Small-cap Blend Common Stock,7.82,0.1564,0.0658,0.2481,0.0,6.54,22.26,0.5934
FLR,Fluor Corp,U.S. Small-cap Value Common Stock,15.79,0.0384,-0.2658,0.3432,0.0084,7.03,53.49,0.0631
FLS,Flowserve Corp,U.S. Small-cap Blend Common Stock,15.23,0.1154,-0.1665,0.3983,0.0,5.21,56.62,0.1252
FMC,FMC Corp,U.S. Mid-cap Blend Common Stock,17.9,0.1238,-0.093,0.3401,0.0171,2.28,27.1,0.0524
FMNB,Farmers National Banc Corp,U.S. Small-cap Blend Common Stock,10.39,0.0278,-0.2012,0.2579,0.0,3.28,20.56,0.2056
FNB,FNB Corp/PA,U.S. Small-cap Blend Common Stock,10.2,-0.0161,-0.1676,0.1357,0.0,2.29,14.57,0.2711
FNLC,First Bancorp Inc/The,U.S. Small-cap Blend Common Stock,10.12,0.066,-0.0345,0.167,0.0,5.23,17.37,0.1796
FRME,First Merchants Corp,U.S. Small-cap Blend Common Stock,10.04,0.068,-0.1962,0.332,0.0,3.06,34.66,0.111
FRPH,FRP Holdings Inc,U.S. Small-cap Growth Common Stock,345.15,-0.3799,-0.511,-0.2488,0.0,10.16,92.17,0.5953
FRT,Federal Realty Investment Trust,Real Estate REIT,32.28,0.0836,-0.0118,0.1778,0.0,7.55,56.76,0.8331
FSS,Federal Signal Corp,U.S. Small-cap Blend Common Stock,37.2,0.143,-0.1483,0.4342,0.0085,4.19,34.26,0.0454
FUL,HB Fuller Co,U.S. Small-cap Blend Common Stock,21.98,0.0481,-0.0695,0.1658,0.0,7.01,27.88,0.3027
FULT,Fulton Financial Corp,U.S. Small-cap Blend Common Stock,10.03,0.0448,-0.0921,0.1809,0.0,3.59,18.77,0.2727
FWRD,Forward Air Corp,U.S. Small-cap Blend Common Stock,33.17,0.0825,-0.0425,0.2072,0.0,12.71,87.21,0.2177
GBCI,Glacier Bancorp Inc,U.S. Small-cap Growth Common Stock,12.89,0.1339,-0.0215,0.29,0.0,5.61,27.82,0.4828
GBX,Greenbrier Cos Inc/The,U.S. Small-cap Value Common Stock,12.73,0.0839,-0.1184,0.2844,0.0,2.31,38.58,0.7294
GD,General Dynamics Corp,U.S. Large-cap Blend Common Stock,18.4,0.0522,-0.0348,0.1379,0.0,7.99,24.29,0.709
GE,General Electric Co,U.S. Large-cap Blend Common Stock,16.31,-0.071,-0.26,0.1172,0.0,2.57,31.04,0.266
GEF,Greif Inc,U.S. Small-cap Value Common Stock,14.06,0.0264,-0.1733,0.2254,0.0,3.72,23.61,0.3895
GEF/B,Greif Inc,U.S. Small-cap Value Common Stock,15.03,0.0205,-0.1533,0.1933,0.0,3.6,17.28,0.3473
GEO,GEO Group Inc/The,U.S. Small-cap Value Common Stock,4.96,0.4765,0.2613,0.692,0.0,5.34,26.12,0.5862
GFF,Griffon Corp,U.S. Small-cap Value Common Stock,23.26,-0.0029,-0.2366,0.2313,0.0,4.5,40.53,0.1418
GGG,Graco Inc,U.S. Mid-cap Growth Common Stock,36.65,0.0601,-0.1,0.2202,0.0,8.23,43.25,0.3857
GHC,Graham Holdings Co,U.S. Small-cap Value Common Stock,20.91,-0.0507,-0.2076,0.1061,0.0,4.94,25.22,0.502
GIC,Global Industrial Co,U.S. Small-cap Value Common Stock,28.74,-0.073,-0.3242,0.1763,0.0,0.99,42.28,0.6396
GIII,G-III Apparel Group Ltd,U.S. Small-cap Value Common Stock,7.42,0.27,-0.0954,0.6357,0.0122,5.11,771.72,0.0732
GIS,General Mills Inc,U.S. Large-cap Blend Common Stock,18.87,0.0442,-0.0266,0.1143,0.0,9.73,22.39,0.2861
GL,Globe Life Inc,U.S. Mid-cap Blend Common Stock,16.09,0.0724,-0.0534,0.1993,0.0,4.0,24.45,0.4307
GLT,Glatfelter Corp,U.S. Small-cap Value Common Stock,3.36,0.2106,0.0172,0.404,0.0,5.27,27.2,0.2022
GLW,Corning Inc,U.S. Mid-cap Blend Common Stock,18.7,0.0694,-0.0885,0.2304,0.0,2.73,161.45,0.7601
GNTX,Gentex Corp,U.S. Mid-cap Growth Common Stock,21.09,0.1305,0.0015,0.2601,0.0,8.71,61.72,0.3525
GPC,Genuine Parts Co,U.S. Mid-cap Value Common Stock,23.51,0.0703,-0.0538,0.1941,0.0001,4.81,23.53,0.0826
GPS,Gap Inc/The,U.S. Small-cap Value Common Stock,4.96,0.1469,-0.0402,0.334,0.0,6.42,63.83,0.2944
GRC,Gorman-Rupp Co/The,U.S. Small-cap Blend Common Stock,23.52,0.0716,-0.0368,0.18,0.0,7.04,35.04,0.3817
GSBC,Great Southern Bancorp Inc,U.S. Small-cap Blend Common Stock,10.91,0.124,-0.0554,0.3043,0.0,2.99,24.32,0.28
GVA,Granite Construction Inc,U.S. Small-cap Value Common Stock,41.32,-0.0988,-0.2575,0.0612,0.0,8.69,54.07,0.4442
GWW,WW Grainger Inc,U.S. Large-cap Blend Common Stock,36.76,0.0704,-0.0754,0.2159,0.0,9.13,34.01,0.1147
HAE,Haemonetics Corp,U.S. Small-cap Growth Common Stock,44.43,0.0483,-0.0858,0.1827,0.0,12.49,58.06,0.165
HAIN,Hain Celestial Group Inc/The,U.S. Small-cap Value Common Stock,9.06,0.4089,0.1661,0.6517,0.0,15.53,175.44,0.4522
HAL,Halliburton Co,U.S. Mid-cap Blend Common Stock,19.69,0.0467,-0.2306,0.3241,0.009,8.85,89.21,0.0463
HAS,Hasbro Inc,U.S. Mid-cap Blend Common Stock,13.23,0.1115,-0.065,0.2879,0.0,5.87,29.63,0.0948
HBAN,Huntington Bancshares Inc/OH,U.S. Mid-cap Blend Common Stock,10.0,-0.0061,-0.2826,0.2706,0.0,0.65,35.75,0.1448
HCSG,Healthcare Services Group Inc,U.S. Small-cap Value Common Stock,12.54,0.3175,0.1153,0.5207,0.0,4.51,67.3,0.6713
HD,Home Depot Inc/The,U.S. Large-cap Blend Common Stock,30.38,0.0931,-0.1189,0.3041,0.0,7.15,94.6,0.3881
HE,Hawaiian Electric Industries Inc,U.S. Small-cap Blend Common Stock,17.56,0.0703,-0.023,0.1635,0.0002,3.24,19.86,0.0627
HEI,HEICO Corp,U.S. Mid-cap Growth Common Stock,85.9,0.0943,-0.1074,0.2965,0.0,13.49,129.84,0.2919
HELE,Helen of Troy Ltd,U.S. Small-cap Blend Common Stock,16.8,0.1587,-0.0226,0.3411,0.0,6.25,43.54,0.4047
HES,Hess Corp,U.S. Large-cap Growth Common Stock,433.89,0.3147,0.0675,0.5631,0.0,7.83,443.69,0.1329
HIBB,Hibbett Inc,U.S. Small-cap Value Common Stock,9.36,0.2158,-0.0526,0.4862,0.0,5.3,65.84,0.2201
HIFS,Hingham Institution For Savings The,U.S. Small-cap Blend Common Stock,12.1,0.1541,-0.0453,0.3538,0.0,4.26,29.07,0.1037
HIG,Hartford Financial Services Group Inc/The,U.S. Mid-cap Blend Common Stock,14.16,-0.0509,-0.3033,0.2026,0.0,0.76,26.6,0.3932
HIW,Highwoods Properties Inc,Real Estate REIT,20.26,0.077,-0.0375,0.1915,0.0,3.47,59.32,0.2486
HMN,Horace Mann Educators Corp,U.S. Small-cap Value Common Stock,11.93,0.0011,-0.1965,0.1992,0.0,3.84,16.47,0.191
HNI,HNI Corp,U.S. Small-cap Value Common Stock,11.56,0.0615,-0.089,0.211,0.0,2.85,26.53,0.5165
HOG,Harley-Davidson Inc,U.S. Small-cap Value Common Stock,8.99,0.0667,-0.1775,0.3106,0.019,2.77,68.52,0.0584
HOLX,Hologic Inc,U.S. Mid-cap Growth Common Stock,28.82,0.295,-0.067,0.6572,0.0,7.32,291.3,0.2689
HON,Honeywell International Inc,U.S. Large-cap Growth Common Stock,23.05,0.0685,-0.117,0.2538,0.0015,5.68,28.99,0.063
HPQ,HP Inc,U.S. Mid-cap Value Common Stock,10.76,-0.1185,-0.2606,0.0238,0.0,1.49,15.31,0.6956
HRB,H&R Block Inc,U.S. Small-cap Blend Common Stock,9.88,0.1117,-0.0442,0.2672,0.0,5.19,25.1,0.4236
HRL,Hormel Foods Corp,U.S. Mid-cap Blend Common Stock,21.95,0.124,0.004,0.2442,0.0,10.82,42.47,0.1155
HSIC,Henry Schein Inc,U.S. Mid-cap Value Common Stock,20.74,0.1858,0.1116,0.2588,0.0,16.3,34.09,0.727
HSY,Hershey Co/The,U.S. Large-cap Growth Common Stock,34.42,0.0225,-0.1164,0.1613,0.0,11.7,32.02,0.2621
HTLD,Heartland Express Inc,U.S. Small-cap Blend Common Stock,23.31,0.0711,-0.0472,0.1892,0.0,12.34,38.28,0.6108
HTLF,Heartland Financial USA Inc,U.S. Small-cap Blend Common Stock,8.06,0.242,0.1231,0.362,0.0,7.41,23.18,0.6113
HUBB,Hubbell Inc,U.S. Mid-cap Growth Common Stock,37.4,0.0418,-0.1157,0.199,0.0,6.2,24.36,0.0914
HUM,Humana Inc,U.S. Large-cap Value Common Stock,24.53,0.1356,-0.0273,0.2972,0.0,4.79,44.74,0.5866
HWKN,Hawkins Inc,U.S. Small-cap Blend Common Stock,27.19,0.053,-0.0806,0.1863,0.0,6.97,27.9,0.2443
IBOC,International Bancshares Corp,U.S. Small-cap Growth Common Stock,14.51,0.0007,-0.1235,0.1237,0.0,3.27,18.92,0.5079
ICUI,ICU Medical Inc,U.S. Small-cap Blend Common Stock,35.51,0.132,-0.0241,0.2885,0.0,18.51,89.95,0.4873
IDA,IDACORP Inc,U.S. Small-cap Blend Common Stock,19.86,0.1287,0.0055,0.2522,0.0,4.17,23.65,0.0978
IDXX,IDEXX Laboratories Inc,U.S. Large-cap Growth Common Stock,105.5,0.1582,-0.027,0.3434,0.0001,29.4,120.6,0.0601
IEX,IDEX Corp,U.S. Mid-cap Growth Common Stock,37.5,0.1233,-0.0218,0.2684,0.0005,10.68,44.0,0.0437
IFF,International Flavors & Fragrances Inc,U.S. Mid-cap Blend Common Stock,14.99,0.0872,-0.0804,0.2543,0.0001,4.95,29.79,0.0609
IMKTA,Ingles Markets Inc,U.S. Small-cap Value Common Stock,12.83,0.0854,-0.1138,0.2846,0.0,4.92,24.0,0.1495
INDB,Independent Bank Corp,U.S. Small-cap Blend Common Stock,12.78,0.1125,-0.0528,0.2784,0.0,5.2,32.84,0.0937
INTC,Intel Corp,U.S. Large-cap Blend Common Stock,10.17,0.127,0.0037,0.2507,0.0,7.09,60.73,0.6035
INTU,Intuit Inc,U.S. Large-cap Growth Common Stock,84.07,0.1476,-0.009,0.304,0.0,21.08,2026.44,0.3874
IP,International Paper Co,U.S. Mid-cap Value Common Stock,7.65,0.1156,-0.077,0.3087,0.0001,2.36,18.03,0.2088
IPAR,Inter Parfums Inc,U.S. Small-cap Growth Common Stock,73.12,-0.0507,-0.215,0.1134,0.0,5.73,51.03,0.4857
IPG,Interpublic Group of Cos Inc/The,U.S. Mid-cap Blend Common Stock,17.42,0.019,-0.2871,0.326,0.0072,3.98,49.06,0.0574
ITIC,Investors Title Co,U.S. Small-cap Blend Common Stock,11.84,0.1219,-0.0702,0.3139,0.0,4.28,28.87,0.1478
ITT,ITT Inc,U.S. Mid-cap Blend Common Stock,25.04,-0.0051,-0.1534,0.1431,0.0,2.0,13.79,0.1685
ITW,Illinois Tool Works Inc,U.S. Large-cap Growth Common Stock,33.82,0.0433,-0.0861,0.173,0.0,8.26,34.73,0.1713
J,Jacobs Solutions Inc,U.S. Mid-cap Blend Common Stock,24.71,0.1184,-0.0816,0.3185,0.0,11.72,73.97,0.1788
JACK,Jack in the Box Inc,U.S. Small-cap Blend Common Stock,21.5,0.1353,-0.0794,0.3512,0.0,11.17,540.29,0.2374
JBHT,JB Hunt Transport Services Inc,U.S. Mid-cap Blend Common Stock,34.39,0.1564,0.0318,0.2803,0.0,10.91,61.14,0.6641
JBL,Jabil Inc,U.S. Mid-cap Value Common Stock,33.74,-0.006,-0.1853,0.1735,0.0,3.58,149.92,0.4902
JBSS,John B Sanfilippo & Son Inc,U.S. Small-cap Blend Common Stock,25.51,0.0829,-0.2947,0.4599,0.0,3.16,46.78,0.1993
JJSF,J & J Snack Foods Corp,U.S. Small-cap Blend Common Stock,37.76,0.0693,-0.0235,0.161,0.0,10.38,42.09,0.5878
JKHY,Jack Henry & Associates Inc,U.S. Mid-cap Growth Common Stock,39.34,0.1193,-0.0022,0.2414,0.0,15.77,108.91,0.5478
JNJ,Johnson & Johnson,U.S. Large-cap Growth Common Stock,20.4,0.0645,0.0006,0.1289,0.0,10.52,28.99,0.5107
JOE,St Joe Co/The,U.S. Small-cap Growth Common Stock,54.72,-0.0389,-0.3208,0.2425,0.0,15.56,80.62,0.0845
JOUT,Johnson Outdoors Inc,U.S. Small-cap Value Common Stock,12.95,0.2084,-0.0139,0.4295,0.0,4.27,46.86,0.389
JWN,Nordstrom Inc,U.S. Small-cap Value Common Stock,9.57,0.2013,-0.062,0.4631,0.0,4.98,33.03,0.3639
K,Kellogg Co,U.S. Mid-cap Blend Common Stock,14.87,0.0286,-0.0303,0.088,0.0,7.07,18.55,0.6097
KAMN,Kaman Corp,U.S. Small-cap Value Common Stock,9.39,0.1804,0.0526,0.3094,0.0,6.99,46.15,0.5196
KELYA,Kelly Services Inc,U.S. Small-cap Value Common Stock,9.37,0.024,-0.1406,0.1886,0.0106,5.27,33.12,0.0385
KEX,Kirby Corp,U.S. Small-cap Blend Common Stock,27.39,0.0907,-0.12,0.3012,0.0168,14.88,47.56,0.0469
KEY,KeyCorp,U.S. Mid-cap Blend Common Stock,6.84,0.0313,-0.2596,0.3222,0.0003,1.94,84.84,0.048
KIM,Kimco Realty Corp,Real Estate REIT,19.21,-0.0344,-0.2053,0.1365,0.0,3.37,27.68,0.576
KLAC,KLA Corp,U.S. Large-cap Growth Common Stock,43.08,0.004,-0.2509,0.2593,0.0,5.59,84.7,0.2468
KMB,Kimberly-Clark Corp,U.S. Large-cap Blend Common Stock,16.85,0.0369,-0.0575,0.1319,0.0,6.77,20.78,0.3025
KMPR,Kemper Corp,U.S. Small-cap Value Common Stock,21.69,-0.0619,-0.2145,0.0918,0.0,3.31,31.15,0.4155
KMT,Kennametal Inc,U.S. Small-cap Blend Common Stock,13.71,0.0341,-0.072,0.1409,0.0,5.73,22.04,0.6149
KO,Coca-Cola Co/The,U.S. Large-cap Growth Common Stock,24.26,-0.0112,-0.0648,0.043,0.0,11.61,39.12,0.7985
KR,Kroger Co/The,U.S. Mid-cap Value Common Stock,16.07,0.0688,-0.0637,0.2022,0.0,8.94,40.45,0.586
L,Loews Corp,U.S. Mid-cap Blend Common Stock,16.93,0.0747,-0.0563,0.2047,0.0,5.73,34.42,0.3299
LCII,LCI Industries,U.S. Small-cap Value Common Stock,18.59,0.1495,-0.0731,0.3702,0.0,3.43,45.04,0.5784
LCUT,Lifetime Brands Inc,U.S. Small-cap Value Common Stock,6.08,0.2546,0.066,0.4454,0.0,2.01,32.42,0.6997
LECO,Lincoln Electric Holdings Inc,U.S. Mid-cap Blend Common Stock,35.34,0.0277,-0.0923,0.1478,0.0,7.77,29.33,0.4166
LEG,Leggett & Platt Inc,U.S. Small-cap Value Common Stock,10.71,0.0779,-0.0784,0.2339,0.0,4.52,26.43,0.1969
LEN,Lennar Corp,U.S. Large-cap Blend Common Stock,15.56,0.0607,-0.282,0.403,0.0,1.49,38.86,0.2012
LFUS,Littelfuse Inc,U.S. Mid-cap Blend Common Stock,32.21,0.0905,-0.1129,0.2939,0.0,7.85,52.17,0.2394
LH,Laboratory Corp of America Holdings,U.S. Mid-cap Blend Common Stock,14.25,0.1934,0.0767,0.3113,0.0,2.3,39.84,0.7697
LHX,L3Harris Technologies Inc,U.S. Large-cap Blend Common Stock,23.06,0.0819,-0.0789,0.2436,0.0,7.0,34.28,0.3764
LKFN,Lakeland Financial Corp,U.S. Small-cap Growth Common Stock,16.88,0.1189,-0.0234,0.2607,0.0,5.53,28.48,0.1347
LLY,Eli Lilly & Co,U.S. Large-cap Growth Common Stock,76.66,-0.0973,-0.3302,0.1357,0.0,5.89,49.25,0.2262
LMT,Lockheed Martin Corp,U.S. Large-cap Blend Common Stock,18.12,0.1129,-0.0337,0.2606,0.0,5.43,28.15,0.3469
LNC,Lincoln National Corp,U.S. Small-cap Value Common Stock,5.21,0.1723,-0.0113,0.3576,0.0,1.18,18.41,0.5476
LNN,Lindsay Corp,U.S. Small-cap Blend Common Stock,33.39,0.0687,-0.088,0.2249,0.0,11.89,78.66,0.1528
LNT,Alliant Energy Corp,U.S. Mid-cap Growth Common Stock,20.84,0.1421,0.0184,0.2653,0.0017,3.07,22.86,0.0859
LOW,Lowe's Cos Inc,U.S. Large-cap Blend Common Stock,30.86,0.1293,-0.0705,0.3297,0.0,9.28,60.14,0.188
LRCX,Lam Research Corp,U.S. Large-cap Growth Common Stock,38.81,0.0985,-0.1478,0.3464,0.0,5.45,99.39,0.3618
LSCC,Lattice Semiconductor Corp,U.S. Mid-cap Growth Common Stock,305.49,0.276,-0.1999,0.7508,0.0001,4.98,308.51,0.1429
LSTR,Landstar System Inc,U.S. Mid-cap Blend Common Stock,30.63,0.1084,-0.0402,0.2568,0.0,12.32,49.95,0.6332
LUMN,Lumen Technologies Inc,U.S. Small-cap Value Common Stock,1.02,0.088,-0.076,0.2519,0.013,3.15,14.69,0.0226
LUV,Southwest Airlines Co,U.S. Mid-cap Value Common Stock,15.42,0.2424,-0.0225,0.5077,0.0,9.29,54.88,0.3632
LZB,La-Z-Boy Inc,U.S. Small-cap Value Common Stock,12.97,0.076,-0.2663,0.4193,0.0358,1.07,76.2,0.0941
M,Macy's Inc,U.S. Small-cap Value Common Stock,4.38,0.2572,0.0495,0.4657,0.0,2.07,21.18,0.5717
MAA,Mid-America Apartment Communities Inc,Real Estate REIT,53.89,0.1347,0.0397,0.2299,0.0,6.47,115.35,0.3208
MAC,Macerich Co/The,Real Estate REIT,23.25,0.0023,-0.202,0.2086,0.0,1.94,67.43,0.7429
MAN,ManpowerGroup Inc,U.S. Small-cap Value Common Stock,9.95,0.1699,0.0304,0.3101,0.0,6.7,37.5,0.4415
MAS,Masco Corp,U.S. Mid-cap Blend Common Stock,21.03,0.0521,-0.2148,0.3189,0.0093,2.13,54.61,0.0356
MAT,Mattel Inc,U.S. Mid-cap Blend Common Stock,38.89,-0.3105,-0.4807,-0.1404,0.0,5.58,21.71,0.4379
MATV,Mativ Holdings Inc,U.S. Small-cap Value Common Stock,4.13,0.2194,-0.013,0.4516,0.0,4.4,21.64,0.2514
MATW,Matthews International Corp,U.S. Small-cap Value Common Stock,18.57,0.0404,-0.1489,0.2291,0.0,10.37,29.78,0.1341
MCD,McDonald's Corp,U.S. Large-cap Growth Common Stock,34.65,0.0268,-0.1371,0.1904,0.0,6.39,28.41,0.1955
MCHP,Microchip Technology Inc,U.S. Large-cap Growth Common Stock,54.72,0.0351,-0.1105,0.1797,0.0,11.69,60.37,0.2645
MCK,McKesson Corp,U.S. Large-cap Value Common Stock,25.55,0.1079,-0.0099,0.2276,0.0,13.49,86.75,0.7512
MCRI,Monarch Casino & Resort Inc,U.S. Small-cap Blend Common Stock,29.91,0.1313,-0.2273,0.4907,0.0,7.31,73.84,0.1632
MCS,Marcus Corp/The,U.S. Small-cap Value Common Stock,42.21,-0.0855,-0.2904,0.1196,0.0,5.4,38.61,0.2343
MCY,Mercury General Corp,U.S. Small-cap Value Common Stock,28.13,-0.0928,-0.1856,0.0004,0.0,3.51,18.29,0.4295
MDC,MDC Holdings Inc,U.S. Small-cap Value Common Stock,11.8,0.1108,-0.2197,0.4419,0.0038,3.3,277.1,0.022
MDT,Medtronic PLC,U.S. Large-cap Growth Common Stock,20.52,0.0569,-0.0193,0.1331,0.0,10.21,36.27,0.8057
MDU,MDU Resources Group Inc,U.S. Small-cap Value Common Stock,11.95,-0.0113,-0.1165,0.0936,0.0,5.07,12.35,0.4266
MGEE,MGE Energy Inc,U.S. Small-cap Growth Common Stock,27.79,0.0996,0.0141,0.1852,0.0009,4.93,29.47,0.0543
MGRC,McGrath RentCorp,U.S. Small-cap Blend Common Stock,35.42,0.0412,-0.113,0.1956,0.0003,6.3,33.86,0.0988
MHK,Mohawk Industries Inc,U.S. Mid-cap Value Common Stock,7.8,0.3274,0.0887,0.5659,0.0,4.64,48.9,0.4367
MHO,M/I Homes Inc,U.S. Small-cap Value Common Stock,12.65,0.051,-0.3167,0.4183,0.0014,1.64,57.52,0.0382
MIDD,Middleby Corp/The,U.S. Mid-cap Blend Common Stock,23.58,0.5525,0.2791,0.8276,0.0,13.77,90.5,0.6708
MKC,McCormick & Co Inc/MD,U.S. Mid-cap Growth Common Stock,32.07,0.0967,0.002,0.1918,0.0,12.18,31.9,0.1356
MKL,Markel Group Inc,U.S. Mid-cap Blend Common Stock,37.96,0.0888,-0.0272,0.2046,0.0,18.45,75.74,0.3202
MLAB,Mesa Laboratories Inc,U.S. Small-cap Blend Common Stock,48.38,0.1815,0.0055,0.3569,0.0049,7.7,81.19,0.0605
MLI,Mueller Industries Inc,U.S. Small-cap Blend Common Stock,19.13,0.0567,-0.0941,0.2069,0.0157,4.65,24.17,0.0612
MLKN,MillerKnoll Inc,U.S. Small-cap Value Common Stock,7.79,0.15,0.0228,0.278,0.0,5.21,50.43,0.4235
MLM,Martin Marietta Materials Inc,U.S. Mid-cap Growth Common Stock,45.51,0.064,-0.1103,0.2383,0.0,9.49,59.01,0.2124
MMM,3M Co,U.S. Large-cap Blend Common Stock,10.65,0.2109,0.1378,0.2831,0.0,7.86,29.18,0.7998
MMSI,Merit Medical Systems Inc,U.S. Small-cap Growth Common Stock,62.21,0.0425,-0.2081,0.2936,0.0,16.27,123.04,0.4074
MNRO,Monro Inc,U.S. Small-cap Value Common Stock,16.45,0.2091,0.0502,0.3683,0.0,5.57,49.64,0.5732
MO,Altria Group Inc,U.S. Large-cap Growth Common Stock,10.51,0.0618,-0.0888,0.2119,0.0,0.49,19.19,0.3641
MOG/A,Moog Inc,U.S. Small-cap Blend Common Stock,19.89,0.1289,-0.0555,0.313,0.0,12.39,49.93,0.2079
MOV,Movado Group Inc,U.S. Small-cap Value Common Stock,10.56,0.162,-0.0108,0.3366,0.0,3.69,35.15,0.5936
MPAA,Motorcar Parts of America Inc,U.S. Small-cap Value Common Stock,7.86,0.1592,-0.1935,0.5116,0.0,1.93,232.78,0.2396
MRK,Merck & Co Inc,U.S. Large-cap Growth Common Stock,24.06,-0.0213,-0.1823,0.1399,0.0,4.2,21.62,0.1921
MRO,Marathon Oil Corp,U.S. Mid-cap Blend Common Stock,35.53,-0.0624,-0.3665,0.2414,0.0056,2.31,21.22,0.0323
