ETF_TICKER,ETF_NAME,INDEX_NAME,CAPE,FWD_RETURN_5Y_FORECAST,LOWER_CONFIDENCE,UPPER_CONFIDENCE,INDEX_TICKER
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,MSCI United States Small Cap,20.14,0.099,0.0286,0.1686,MXUSSC
JHSC,John Hancock Multifactor Small Cap ETF,MSCI United States Small Cap,20.14,0.099,0.0286,0.1686,MXUSSC
NUSC,Nuveen ESG Small-Cap ETF,MSCI United States Small Cap,20.14,0.099,0.0286,0.1686,MXUSSC
SMMD,iShares Russell 2500 ETF,MSCI United States Small Cap,20.14,0.099,0.0286,0.1686,MXUSSC
VB,Vanguard Small-Cap ETF,MSCI United States Small Cap,20.14,0.099,0.0286,0.1686,MXUSSC
SCHA,Schwab US Small-Cap ETF,MSCI United States Small Cap,20.14,0.099,0.0286,0.1686,MXUSSC
IXN,iShares Global Tech ETF,MSCI ACWI Information Technology,35.56,0.0631,-0.0658,0.1923,MXWD0IT
QQQ,Invesco QQQ Trust Series 1,NASDAQ-100,36.31,0.1637,0.0826,0.2439,NDQ
BKLC,BNY Mellon US Large Cap Core Equity ETF,S&P 100,27.26,0.0128,-0.1036,0.1284,OEX
OEF,iShares S&P 100 ETF,S&P 100,27.26,0.0128,-0.1036,0.1284,OEX
XLG,Invesco Exchange-Traded Fund Trust-Invesco S&P 500r Top 50 ETF,S&P 100,27.26,0.0128,-0.1036,0.1284,OEX
OIH,VanEck Oil Services ETF,Philadelphia Stock Exchange Oil Service Sector,8.79,-0.1749,-0.4189,0.0686,OSX
ILCG,iShares Morningstar Growth ETF,Russell 3000 Growth,40.73,0.017,-0.1094,0.1428,RAG
VUG,Vanguard Growth ETF,Russell 3000 Growth,40.73,0.017,-0.1094,0.1428,RAG
IWP,iShares Russell Mid-Cap Growth ETF,Russell Midcap Growth,39.1,0.0587,-0.0442,0.1622,RDG
VOT,Vanguard Mid-Cap Growth ETF,Russell Midcap Growth,39.1,0.0587,-0.0442,0.1622,RDG
IWF,iShares Russell 1000 Growth ETF,Russell 1000 Growth,41.41,0.0132,-0.1173,0.1442,RLG
MGK,Vanguard Mega Cap Growth ETF,Russell 1000 Growth,41.41,0.0132,-0.1173,0.1442,RLG
SCHG,Schwab U.S. Large-Cap Growth ETF,Russell 1000 Growth,41.41,0.0132,-0.1173,0.1442,RLG
TMFC,Motley Fool 100 Index ETF,Russell 1000 Growth,41.41,0.0132,-0.1173,0.1442,RLG
VONG,Vanguard Russell 1000 Growth ETF,Russell 1000 Growth,41.41,0.0132,-0.1173,0.1442,RLG
IWD,iShares Russell 1000 Value ETF,Russell 1000 Value,20.16,0.0142,-0.0728,0.1005,RLV
SCHV,Schwab U.S. Large-Cap Value ETF,Russell 1000 Value,20.16,0.0142,-0.0728,0.1005,RLV
VONV,Vanguard Russell 1000 Value,Russell 1000 Value,20.16,0.0142,-0.0728,0.1005,RLV
