,F_PVALUE
KMPR,0.0
KMT,0.0
KO,0.0
KR,0.0
KSS,0.7098
KWR,0.9443
L,0.0
LANC,0.6424
LCII,0.0
LCUT,0.0
LECO,0.0
LEG,0.0
LEN,0.0
LFUS,0.0
LH,0.0
LHX,0.0
LKFN,0.0
LLY,0.0
LMT,0.0
LNC,0.0
LNN,0.0
LNT,0.0001
LOW,0.0
LRCX,0.0
LSCC,0.0056
LSI,0.1414
LSTR,0.0
LUMN,0.0
LUV,0.0
LZB,0.0292
M,0.0
MAA,0.0
MAC,0.0
MAN,0.0
MAS,0.006
MAT,0.0
MATV,0.0
MATW,0.0
MATX,0.0815
MCD,0.0
MCHP,0.0
MCK,0.0
MCRI,0.0
MCS,0.0
MCY,0.0
MD,0.0031
MDC,0.0018
MDT,0.0
MDU,0.0
MEI,0.6952
MGEE,0.0065
MGRC,0.0001
MHK,0.0
MHO,0.0003
MIDD,0.0
MKC,0.0
MKL,0.0
MLAB,0.1815
MLI,0.0003
MLKN,0.0
MLM,0.0
MMC,0.0367
MMM,0.0
MMSI,0.0
MNRO,0.0
MO,0.0
MOD,0.0285
MOG/A,0.0
MOV,0.0
MPAA,0.0
MRK,0.0
MRO,0.0032
MRTN,0.0
MS,0.0374
MSA,0.0
MSEX,0.0121
MSFT,0.0
MSM,0.0
MTB,0.0
MTRN,0.0
MTW,0.0
MTX,0.0
MTZ,0.0
MUR,0.0
MYE,0.0
NATI,0.0
NBN,0.0
NBTB,0.0
NCR,0.0
NDSN,0.303
NEE,0.0
NEM,0.0
NEOG,0.0
NEU,0.0022
NFG,0.0
NHC,0.0
NHI,0.0
NI,0.7473
NJR,0.0
NKE,0.7533
NL,0.0
NNN,0.0
NOC,0.758
NPK,0.0272
NR,0.0007
NSC,0.0
NSIT,0.0
NSSC,0.0
NTAP,0.0
NTRS,0.0
NUE,0.0
NVR,0.0923
NWBI,0.0
NWL,0.0
NWN,0.0
NXGN,0.1159
NYCB,0.0
NYT,0.0
O,0.0
OCFC,0.0
ODFL,0.0
OFC,0.0
OFIX,0.0
OGE,0.0
OHI,0.0
OI,0.0
OII,0.4744
OKE,0.0
OLN,0.9317
OLP,0.0001
OMC,0.0
OMI,0.0344
ONB,0.0774
OPY,0.0
ORCL,0.0
ORI,0.5957
ORLY,0.0
OTTR,0.0508
OVV,0.0008
OXM,0.0
OXY,0.0
PAG,0.0
PAYX,0.0
PBI,0.1166
PCAR,0.0
PCG,0.0
PCH,0.8981
PDCE,0.0
PDCO,0.7379
PEAK,0.0
PEBO,0.0
PEG,0.0
PEGA,0.0005
PENN,0.0
PEP,0.0
PFC,0.0
PFE,0.0
PG,0.0
PGR,0.0
PH,0.0
PHM,0.0013
PII,0.0
PKE,0.0
PKI,0.0
PLAB,0.0
PLXS,0.0
PNC,0.0761
PNM,0.422
PNR,0.0
PNW,0.028
POOL,0.0002
POWI,0.0
POWL,0.0
PPG,0.0019
PPL,0.0
PRA,0.0
PRG,0.0
PRGS,0.0
PRK,0.0
PRMW,0.0
PSA,0.0
PTC,0.0
PTSI,0.3701
PVH,0.0
PZZA,0.0
QCOM,0.8959
QCRH,0.0
QGEN,0.0
R,0.0
RCII,0.0
RCKY,0.0
RCL,0.0
REG,0.0
RES,0.0
REX,0.0
RF,0.0
RGA,0.0
RGLD,0.7123
RGR,0.2024
RHI,0.0
RJF,0.0
RLI,0.0
RMD,0.0
RNST,0.0
ROCK,0.0048
ROG,0.0126
ROK,0.0
ROL,0.0453
ROP,0.0
ROST,0.0
RPM,0.0017
RPT,0.0
RRC,0.0
RRX,0.0
RS,0.0
RTX,0.2662
