TICKER,NAME,INDEX_NAME,CAPE,FWD_RETURN_FORECAST,LOWER_CONFIDENCE,UPPER_CONFIDENCE,F_PVALUE,INDEX_TICKER,MINIMUM_CAPE,MAXIMUM_CAPE,RSQUARED
FENY,Fidelity MSCI Energy Index ETF,MSCI USA Energy,19.01,0.0411,-0.1209,0.203,0.0,MXUS0EN,10.33,35.40999999999999,0.1089
IYE,iShares U.S. Energy ETF,MSCI USA Energy,19.01,0.0411,-0.1209,0.203,0.0,MXUS0EN,10.33,35.40999999999999,0.1089
XLE,Energy Select Sector SPDR Fund,MSCI USA Energy,19.01,0.0411,-0.1209,0.203,0.0,MXUS0EN,10.33,35.40999999999999,0.1089
VDE,Vanguard Energy ETF,MSCI USA Energy,19.01,0.0411,-0.1209,0.203,0.0,MXUS0EN,10.33,35.40999999999999,0.1089
FNCL,Fidelity MSCI Financials Index ETF,MSCI USA Financials,15.47,0.0371,-0.1367,0.2109,0.0,MXUS0FN,6.46,35.089999999999996,0.169
XLF,Financial Select Sector SPDR Fund,MSCI USA Financials,15.47,0.0371,-0.1367,0.2109,0.0,MXUS0FN,6.46,35.089999999999996,0.169
VFH,Vanguard Financials ETF,MSCI USA Financials,15.47,0.0371,-0.1367,0.2109,0.0,MXUS0FN,6.46,35.089999999999996,0.169
IYH,iShares U.S. Healthcare ETF,MSCI USA Health Care,27.08,0.0806,-0.0305,0.1924,0.0,MXUS0HC,13.5,57.98000000000001,0.4805
XLV,Health Care Select Sector SPDR Fund,MSCI USA Health Care,27.08,0.0806,-0.0305,0.1924,0.0,MXUS0HC,13.5,57.98000000000001,0.4805
FIDU,Fidelity MSCI Industrials Index ETF,MSCI USA Industrials,24.08,0.0542,-0.0604,0.1684,0.0,MXUS0IN,8.739999999999998,41.81000000000001,0.2767
XLI,Industrial Select Sector SPDR Fund,MSCI USA Industrials,24.08,0.0542,-0.0604,0.1684,0.0,MXUS0IN,8.739999999999998,41.81000000000001,0.2767
VIS,Vanguard Industrials ETF,MSCI USA Industrials,24.08,0.0542,-0.0604,0.1684,0.0,MXUS0IN,8.739999999999998,41.81000000000001,0.2767
FMAT,Fidelity MSCI Materials Index ETF,MSCI USA Materials,18.05,0.089,0.021,0.1572,0.0,MXUS0MT,11.569999999999999,29.83,0.6114
VAW,Vanguard Materials ETF,MSCI USA Materials,18.05,0.089,0.021,0.1572,0.0,MXUS0MT,11.569999999999999,29.83,0.6114
XLB,Materials Select Sector SPDR Fund,MSCI USA Materials,18.05,0.089,0.021,0.1572,0.0,MXUS0MT,11.569999999999999,29.83,0.6114
FUTY,Fidelity MSCI Utilities Index ETF,MSCI USA Utilities,17.72,0.0104,-0.0931,0.1144,0.0,MXUS0UT,9.23,20.650000000000002,0.1291
IDU,iShares US Utilities ETF,MSCI USA Utilities,17.72,0.0104,-0.0931,0.1144,0.0,MXUS0UT,9.23,20.650000000000002,0.1291
VPU,Vanguard Utilities ETF,MSCI USA Utilities,17.72,0.0104,-0.0931,0.1144,0.0,MXUS0UT,9.23,20.650000000000002,0.1291
XLU,Utilities Select Sector SPDR Fund,MSCI USA Utilities,17.72,0.0104,-0.0931,0.1144,0.0,MXUS0UT,9.23,20.650000000000002,0.1291
BKSE,BNY Mellon US Small Cap Core Equity ETF,MSCI United States Small Cap,17.56,0.1363,0.0669,0.2055,0.0,MXUSSC,10.760000000000002,29.229999999999997,0.6763
ESML,iShares ESG Aware MSCI USA Small-Cap ETF,MSCI United States Small Cap,17.56,0.1363,0.0669,0.2055,0.0,MXUSSC,10.760000000000002,29.229999999999997,0.6763
JHSC,John Hancock Multifactor Small Cap ETF,MSCI United States Small Cap,17.56,0.1363,0.0669,0.2055,0.0,MXUSSC,10.760000000000002,29.229999999999997,0.6763
NUSC,Nuveen ESG Small-Cap ETF,MSCI United States Small Cap,17.56,0.1363,0.0669,0.2055,0.0,MXUSSC,10.760000000000002,29.229999999999997,0.6763
SMMD,iShares Russell 2500 ETF,MSCI United States Small Cap,17.56,0.1363,0.0669,0.2055,0.0,MXUSSC,10.760000000000002,29.229999999999997,0.6763
VB,Vanguard Small-Cap ETF,MSCI United States Small Cap,17.56,0.1363,0.0669,0.2055,0.0,MXUSSC,10.760000000000002,29.229999999999997,0.6763
SCHA,Schwab US Small-Cap ETF,MSCI United States Small Cap,17.56,0.1363,0.0669,0.2055,0.0,MXUSSC,10.760000000000002,29.229999999999997,0.6763
IXN,iShares Global Tech ETF,MSCI ACWI Information Technology,40.67,0.039,-0.0903,0.1681,0.0,MXWD0IT,15.590000000000002,135.29,0.6197
QQQ,Invesco QQQ Trust Series 1,NASDAQ-100,43.22,0.1244,0.0446,0.2037,0.0,NDQ,23.390000000000004,117.23999999999995,0.7337
BKLC,BNY Mellon US Large Cap Core Equity ETF,S&P 100,28.48,0.0132,-0.1034,0.1291,0.0,OEX,10.34,40.03,0.1842
OEF,iShares S&P 100 ETF,S&P 100,28.48,0.0132,-0.1034,0.1291,0.0,OEX,10.34,40.03,0.1842
XLG,Invesco Exchange-Traded Fund Trust-Invesco S&P 500r Top 50 ETF,S&P 100,28.48,0.0132,-0.1034,0.1291,0.0,OEX,10.34,40.03,0.1842
OIH,VanEck Oil Services ETF,Philadelphia Stock Exchange Oil Service Sector,11.57,-0.1251,-0.3664,0.1173,0.0,OSX,6.039999999999999,58.93999999999997,0.3251
ILCG,iShares Morningstar Growth ETF,Russell 3000 Growth,43.88,0.0051,-0.1222,0.1314,0.0,RAG,14.439999999999998,101.67000000000004,0.4761
